Data,Ora,Data Valore,Prodotto,ISIN,Descrizione,Borsa,Variazioni,,Saldo,,ID Ordine
20-05-2024,17:16,20-05-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 1,57 EUR",,,,EUR,952.00,
20-05-2024,17:16,20-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.57,EUR,950.43,
18-05-2024,07:09,17-05-2024,,,Credito FX,,EUR,1.57,EUR,952.00,
18-05-2024,07:09,17-05-2024,,,Prelievo FX,1.0897,USD,-1.71,USD,0.00,
17-05-2024,07:39,16-05-2024,APPLE INC. - COMMON ST,US0378331005,Ritenuta sul dividendo,,USD,-0.19,USD,1.71,
17-05-2024,07:39,16-05-2024,APPLE INC. - COMMON ST,US0378331005,Dividendo,,USD,1.25,USD,1.90,
16-05-2024,17:00,16-05-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,18 EUR",,,,EUR,950.43,
16-05-2024,17:00,16-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.18,EUR,950.25,
16-05-2024,07:25,15-05-2024,REALTY INCOME CORPORAT,US7561091049,Dividendo,,USD,0.77,USD,0.65,
16-05-2024,07:25,15-05-2024,REALTY INCOME CORPORAT,US7561091049,Ritenuta sul dividendo,,USD,-0.12,USD,-0.12,
16-05-2024,07:06,15-05-2024,,,Credito FX,,EUR,0.18,EUR,950.43,
16-05-2024,07:06,15-05-2024,,,Prelievo FX,1.0912,USD,-0.20,USD,0.00,
15-05-2024,07:50,14-05-2024,NAVIOS MARITIME PARTNERS LP COMMON,MHY622674098,Dividendo,,USD,0.20,USD,0.20,
09-05-2024,16:30,09-05-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 8,66 EUR",,,,EUR,950.25,
09-05-2024,16:30,09-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-8.66,EUR,941.59,
09-05-2024,07:01,08-05-2024,,,Credito FX,,EUR,8.66,EUR,950.25,
09-05-2024,07:01,08-05-2024,,,Prelievo FX,1.0775,USD,-9.33,USD,0.00,
08-05-2024,07:29,07-05-2024,ADR ON FINVOLUTION GROUP,US31810T1016,ADR/GDR Commissione Pass-Through,,USD,-0.86,USD,9.33,
08-05-2024,07:28,07-05-2024,ADR ON FINVOLUTION GROUP,US31810T1016,Dividendo,,USD,10.19,USD,10.19,
03-05-2024,18:01,03-05-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 7,25 EUR",,,,EUR,941.59,
03-05-2024,18:01,03-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-7.25,EUR,934.34,
03-05-2024,07:01,02-05-2024,,,Credito FX,,EUR,7.25,EUR,941.59,
03-05-2024,07:01,02-05-2024,,,Prelievo FX,1.0752,USD,-7.79,USD,0.00,
02-05-2024,17:15,02-05-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,15 EUR",,,,EUR,934.34,
02-05-2024,17:15,02-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.15,EUR,934.19,
02-05-2024,12:12,01-05-2024,AT&T INC.,US00206R1023,Dividendo,,USD,9.16,USD,7.79,
02-05-2024,12:12,01-05-2024,AT&T INC.,US00206R1023,Ritenuta sul dividendo,,USD,-1.37,USD,-1.37,
02-05-2024,07:31,01-05-2024,,,Credito FX,,EUR,0.15,EUR,934.34,
02-05-2024,07:31,01-05-2024,,,Prelievo FX,1.0739,USD,-0.16,USD,0.00,
01-05-2024,07:44,30-04-2024,GLADSTONE LAND CORPORA,US3765491010,Ritenuta sul dividendo,,USD,-0.03,USD,0.16,
01-05-2024,07:44,30-04-2024,GLADSTONE LAND CORPORA,US3765491010,Dividendo,,USD,0.19,USD,0.19,
30-04-2024,17:15,30-04-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 3,16 EUR",,,,EUR,934.19,
30-04-2024,17:15,30-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.16,EUR,931.03,
30-04-2024,07:13,29-04-2024,,,Credito FX,,EUR,3.16,EUR,934.19,
30-04-2024,07:13,29-04-2024,,,Prelievo FX,1.0747,USD,-3.40,USD,0.00,
29-04-2024,07:10,26-04-2024,RITHM CAPITAL CORP,US64828T2015,Dividendo,,USD,4.00,USD,3.40,
29-04-2024,07:10,26-04-2024,RITHM CAPITAL CORP,US64828T2015,Ritenuta sul dividendo,,USD,-0.60,USD,-0.60,
17-04-2024,17:00,17-04-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,79 EUR",,,,EUR,931.03,
