Date,Open,High,Low,Close,Adj Close,Volume
1997-07-15,100.000000,100.000000,93.333336,96.250000,12.714726,3038850
1997-07-16,96.250000,98.125000,94.791664,96.666664,12.769767,722490
1997-07-17,96.458336,100.833336,95.833336,100.416664,13.265146,340530
1997-07-18,100.625000,101.250000,98.125000,101.250000,13.375228,278280
1997-07-21,101.250000,101.666664,100.416664,100.833336,13.320188,167100
1997-07-22,101.666664,106.458336,101.458336,103.125000,13.622926,183120
1997-07-23,103.750000,104.375000,103.333336,103.333336,13.650439,202050
1997-07-24,103.541664,103.541664,102.500000,103.125000,13.622926,118590
1997-07-25,102.916664,103.541664,102.708336,103.125000,13.622926,72420
1997-07-28,103.541664,103.750000,99.583336,101.458336,13.402757,115950
1997-07-29,100.000000,100.000000,97.500000,98.958336,13.072500,155790
1997-07-30,98.750000,100.625000,95.416664,100.208336,13.237626,91740
1997-07-31,100.416664,103.333336,100.000000,103.333336,13.650439,66870
1997-08-01,102.708336,105.416664,102.291664,105.000000,13.870613,59610
1997-08-04,104.791664,105.000000,103.125000,104.166664,13.760529,27810
1997-08-05,103.750000,105.000000,103.750000,104.166664,13.760529,14850
1997-08-06,103.750000,104.791664,103.541664,104.583336,13.815570,29280
1997-08-07,104.166664,104.166664,103.541664,103.750000,13.705487,17610
1997-08-08,103.750000,103.958336,102.500000,102.708336,13.567882,19500
1997-08-11,103.333336,103.333336,100.833336,100.833336,13.320188,15600
1997-08-12,101.666664,102.291664,100.833336,100.833336,13.320188,21810
1997-08-13,101.666664,101.875000,101.041664,101.875000,13.457792,52980
1997-08-14,101.875000,103.125000,101.666664,102.083336,13.485318,31530
1997-08-15,102.916664,103.125000,102.083336,102.291664,13.512835,15690
1997-08-18,102.500000,102.708336,101.875000,102.083336,13.485318,33300
1997-08-19,102.083336,103.333336,102.083336,102.708336,13.567882,23100
1997-08-20,102.500000,103.958336,102.291664,103.541664,13.677958,44910
1997-08-21,103.750000,105.000000,103.333336,104.791664,13.843088,24630
1997-08-22,104.166664,105.416664,103.125000,105.416664,13.925653,24720
1997-08-25,105.416664,106.250000,105.208336,106.250000,14.035740,6030
1997-08-26,105.625000,107.916664,105.416664,107.500000,14.200863,25500
1997-08-27,107.916664,107.916664,105.833336,105.833336,13.980699,15960
1997-08-28,105.833336,107.291664,105.416664,106.458336,14.063257,8160
1997-08-29,107.291664,110.416664,107.291664,110.416664,14.586157,27720
1997-09-02,110.833336,115.833336,110.833336,115.208336,15.219143,23160
1997-09-03,115.208336,115.208336,114.166664,114.583336,15.136580,9840
1997-09-04,115.000000,118.125000,115.000000,117.916664,15.576916,23850
1997-09-05,118.333336,121.666664,117.916664,118.333336,15.631953,32160
1997-09-08,118.750000,118.750000,114.583336,115.625000,15.274186,54990
1997-09-09,115.000000,117.083336,114.375000,117.083336,15.466833,13530
1997-09-10,116.875000,116.875000,115.208336,115.625000,15.274186,30420
1997-09-11,115.208336,116.250000,115.208336,116.041664,15.329226,6210
1997-09-12,115.833336,117.291664,115.833336,116.875000,15.439304,36900
1997-09-15,117.291664,117.500000,115.833336,116.250000,15.356749,70380
1997-09-16,116.666664,116.666664,114.583336,115.000000,15.191625,75360
1997-09-17,113.750000,114.791664,113.333336,113.333336,14.971448,10320
1997-09-18,113.333336,113.958336,112.500000,112.500000,14.861363,8400
1997-09-19,110.833336,112.708336,110.416664,111.666664,14.751281,32880
1997-09-22,111.666664,114.166664,111.666664,114.166664,15.081541,25590
1997-09-23,113.333336,113.750000,112.083336,113.541664,14.998976,19950
1997-09-24,113.333336,114.791664,113.125000,114.583336,15.136580,13440
1997-09-25,114.375000,115.416664,113.750000,115.416664,15.246661,4050
1997-09-26,113.958336,115.625000,113.958336,115.625000,15.274186,18810
1997-09-29,115.416664,121.666664,115.416664,121.041664,15.989735,29310
1997-09-30,120.208336,126.666664,119.375000,125.833336,16.622717,43020
1997-10-01,125.416664,125.416664,121.250000,121.666664,16.072298,37740
1997-10-02,121.458336,121.875000,120.416664,121.041664,15.989735,19200
1997-10-03,120.416664,122.083336,120.000000,121.666664,16.072298,22500
1997-10-06,122.083336,122.708336,121.666664,122.083336,16.127338,12720
1997-10-07,122.916664,124.375000,122.916664,124.375000,16.430071,9900
1997-10-08,124.583336,124.583336,123.125000,123.333336,16.292463,4770
1997-10-09,123.125000,123.125000,121.875000,122.083336,16.127338,10590
1997-10-10,121.666664,121.666664,120.000000,121.041664,15.989735,16740
1997-10-13,121.041664,121.041664,116.666664,117.916664,15.576916,53220
1997-10-14,117.708336,118.125000,116.875000,117.083336,15.466833,19290
1997-10-15,116.666664,117.083336,116.250000,116.458336,15.384270,22470
1997-10-16,116.458336,120.416664,116.458336,120.416664,15.907174,24120
1997-10-17,120.416664,120.833336,119.166664,120.000000,15.852127,64290
1997-10-20,120.208336,120.208336,119.166664,119.791664,15.824602,11100
1997-10-21,119.166664,119.166664,118.125000,118.333336,15.631953,34620
1997-10-22,118.125000,118.541664,115.416664,117.083336,15.466833,42900
1997-10-23,115.416664,115.416664,107.500000,110.000000,14.531116,126420
1997-10-24,111.458336,113.333336,110.833336,113.333336,14.971448,61680
1997-10-27,113.333336,116.666664,112.500000,112.500000,14.861363,102150
1997-10-28,111.458336,113.750000,111.250000,113.333336,14.971448,50100
1997-10-29,113.333336,113.333336,112.083336,112.500000,14.861363,26820
1997-10-30,112.083336,113.541664,111.250000,111.666664,14.751281,33480
1997-10-31,112.291664,115.000000,112.291664,115.000000,15.191625,19050
1997-11-03,115.416664,116.250000,115.000000,115.416664,15.246661,24030
1997-11-04,115.000000,115.625000,113.958336,115.416664,15.246661,19560
1997-11-05,115.000000,116.458336,114.791664,116.458336,15.384270,24870
1997-11-06,116.250000,117.291664,115.833336,117.083336,15.466833,18990
1997-11-07,116.458336,116.458336,115.625000,115.625000,15.274186,5790
1997-11-10,116.250000,117.500000,116.250000,117.291664,15.494354,20970
1997-11-11,117.291664,117.291664,116.666664,116.666664,15.411789,45060
1997-11-12,116.666664,116.666664,115.208336,115.208336,15.219143,23160
1997-11-13,115.208336,115.208336,113.750000,114.583336,15.136580,33690
1997-11-14,114.375000,115.416664,114.375000,115.416664,15.246661,4080
1997-11-17,116.250000,120.000000,116.250000,119.791664,15.824602,18210
1997-11-18,120.000000,120.833336,119.375000,119.375000,15.769565,5970
1997-11-19,119.583336,120.000000,119.583336,119.791664,15.824602,9990
1997-11-20,119.166664,119.375000,117.500000,117.916664,15.576916,107970
1997-11-21,118.125000,118.541664,117.708336,117.708336,15.549397,15570
1997-11-24,116.875000,117.916664,116.666664,117.916664,15.576916,14910
1997-11-25,117.916664,117.916664,117.083336,117.916664,15.576916,16020
1997-11-26,118.333336,118.333336,117.083336,117.500000,15.521873,7710
1997-11-28,117.708336,118.750000,117.708336,118.750000,15.687004,3960
1997-12-01,118.958336,126.041664,118.750000,125.000000,16.512630,26670
1997-12-02,125.000000,126.041664,125.000000,126.041664,16.650236,11580
1997-12-03,126.250000,131.666672,125.833336,131.250000,17.338261,25860
1997-12-04,130.625000,131.666672,130.416672,131.250000,17.338261,46740
1997-12-05,130.833328,131.666672,130.625000,131.666672,17.393307,33300
1997-12-08,131.666672,132.083328,130.833328,131.666672,17.393307,14160
1997-12-09,131.458328,131.458328,129.791672,130.625000,17.255699,9450
1997-12-10,130.000000,130.833328,130.000000,130.416672,17.228178,13680
1997-12-11,130.000000,130.416672,127.916664,130.416672,17.228178,28950
1997-12-12,130.416672,132.083328,130.416672,131.250000,17.338261,15180
1997-12-15,132.500000,134.583328,132.083328,134.166672,17.723557,41700
1997-12-16,135.000000,135.833328,133.541672,135.208328,17.861160,40500
1997-12-17,135.208328,135.833328,134.791672,135.833328,17.943726,27870
1997-12-18,136.666672,136.666672,135.416672,136.666672,18.053810,5040
1997-12-19,136.250000,136.250000,135.000000,135.000000,17.833641,18030
1997-12-22,135.000000,135.000000,133.541672,134.166672,17.723557,7320
1997-12-23,133.750000,133.750000,132.500000,133.541672,17.640997,11220
1997-12-24,132.708328,133.333328,132.500000,133.333328,17.613474,10980
1997-12-26,133.125000,133.750000,133.125000,133.750000,17.668518,8640
1997-12-29,132.916672,137.916672,132.916672,137.916672,18.413982,8310
1997-12-30,137.916672,142.916672,136.875000,142.916672,19.081554,10920
1997-12-31,143.541672,148.750000,142.916672,148.750000,19.860388,17880
1998-01-02,147.916672,147.916672,143.958328,144.166672,19.248447,17670
1998-01-05,143.541672,143.541672,135.833328,137.500000,18.358343,59070
1998-01-06,138.333328,139.791672,137.291672,137.500000,18.358343,32400
1998-01-07,137.500000,137.916672,137.083328,137.083328,18.302711,4290
1998-01-08,137.500000,137.916672,136.458328,137.916672,18.413982,20880
1998-01-09,138.750000,139.791672,137.708328,137.916672,18.413982,27600
1998-01-12,137.500000,138.333328,137.083328,138.333328,18.469612,17880
1998-01-13,138.750000,139.791672,138.333328,139.375000,18.608688,10740
1998-01-14,139.583328,140.000000,138.333328,139.375000,18.608688,8880
1998-01-15,138.333328,139.583328,138.333328,139.375000,18.608688,14670
1998-01-16,139.791672,139.791672,138.750000,139.166672,18.580870,17010
1998-01-20,140.000000,140.625000,138.333328,138.541672,18.497431,23040
1998-01-21,138.333328,138.958328,136.250000,136.875000,18.274900,9720
1998-01-22,136.666672,137.708328,133.333328,133.333328,17.802032,6450
1998-01-23,133.333328,133.333328,131.875000,131.875000,17.607319,7650
1998-01-26,131.875000,131.875000,128.333328,130.416672,17.412613,12840
1998-01-27,130.000000,130.416672,128.333328,130.000000,17.356981,37920
1998-01-28,130.000000,131.875000,130.000000,131.250000,17.523874,20790
1998-01-29,131.250000,135.625000,131.250000,133.541672,17.829847,16470
1998-01-30,133.333328,133.750000,133.125000,133.333328,17.802032,6900
1998-02-02,133.333328,134.166672,130.416672,130.416672,17.412613,6120
1998-02-03,130.833328,133.750000,130.000000,133.750000,17.857662,30690
1998-02-04,133.333328,133.958328,133.125000,133.958328,17.885475,5790
1998-02-05,133.750000,134.166672,133.750000,134.166672,17.913292,52920
1998-02-06,134.166672,135.833328,133.125000,135.000000,18.024553,37560
1998-02-09,135.416672,138.333328,135.208328,137.291672,18.330530,13080
1998-02-10,137.916672,140.833328,137.916672,140.625000,18.775585,14370
1998-02-11,140.000000,143.958328,140.000000,143.333328,19.137184,15450
1998-02-12,143.958328,148.333328,143.958328,147.916672,19.749123,24900
1998-02-13,147.500000,148.125000,146.875000,147.291672,19.665682,8520
1998-02-17,146.666672,147.500000,146.250000,146.458328,19.554419,13800
1998-02-18,146.250000,147.708328,146.250000,147.500000,19.693497,15030
1998-02-19,147.500000,147.500000,144.791672,145.000000,19.359707,18060
1998-02-20,145.000000,146.666672,145.000000,146.666672,19.582233,4140
1998-02-23,146.666672,147.083328,146.458328,147.083328,19.637865,12960
1998-02-24,147.083328,147.500000,146.250000,146.250000,19.526600,16350
1998-02-25,146.458328,146.458328,145.833328,146.458328,19.554419,2160
1998-02-26,146.458328,146.458328,145.416672,145.833328,19.470970,2010
1998-02-27,145.833328,146.666672,145.416672,146.666672,19.582233,11520
1998-03-02,146.041672,146.041672,144.166672,144.583328,19.304073,12300
1998-03-03,144.583328,144.583328,143.541672,143.541672,19.165001,5610
1998-03-04,143.541672,143.541672,142.708328,143.125000,19.109373,5850
1998-03-05,143.333328,143.541672,142.916672,142.916672,19.081554,2160
1998-03-06,143.333328,143.333328,142.708328,143.125000,19.109373,3540
1998-03-09,142.500000,143.333328,142.500000,142.916672,19.081554,17190
1998-03-10,142.500000,142.500000,142.083328,142.500000,19.025919,2250
1998-03-11,142.291672,143.333328,141.875000,143.333328,19.137184,6870
1998-03-12,142.708328,143.333328,141.250000,141.875000,18.942472,18210
1998-03-13,142.083328,142.083328,139.166672,139.166672,18.580870,32010
1998-03-16,139.583328,139.791672,135.416672,135.625000,18.108002,26820
1998-03-17,135.416672,135.833328,135.000000,135.625000,18.108002,30420
1998-03-18,135.625000,135.625000,134.583328,134.583328,17.968929,32760
1998-03-19,134.583328,136.250000,134.583328,135.000000,18.024553,25890
1998-03-20,135.625000,138.958328,135.625000,138.750000,18.525234,13650
1998-03-23,139.166672,140.000000,138.958328,138.958328,18.553053,10710
1998-03-24,138.750000,138.750000,134.166672,135.833328,18.135818,69060
1998-03-25,135.416672,138.750000,135.416672,138.333328,18.469612,11730
1998-03-26,138.541672,139.375000,138.541672,139.375000,18.608688,10620
1998-03-27,137.916672,138.541672,137.708328,137.916672,18.603071,3300
1998-03-30,137.916672,138.333328,136.041672,137.916672,18.603071,21300
1998-03-31,137.291672,138.125000,136.250000,138.125000,18.631165,40170
1998-04-01,138.541672,138.541672,136.041672,136.041672,18.350157,7950
1998-04-02,136.666672,138.333328,136.458328,137.083328,18.490656,34020
1998-04-03,137.500000,137.500000,137.083328,137.291672,18.518766,10560
1998-04-06,137.708328,137.916672,136.875000,137.916672,18.603071,6480
1998-04-07,137.500000,137.500000,133.750000,135.208328,18.237751,12630
1998-04-08,135.000000,137.291672,135.000000,137.291672,18.518766,5430
1998-04-09,137.500000,137.708328,134.583328,135.416672,18.265850,12810
1998-04-13,135.833328,136.458328,135.833328,136.458328,18.406359,22440
1998-04-14,135.625000,136.458328,135.625000,135.833328,18.322054,35820
1998-04-15,135.833328,137.083328,135.833328,136.458328,18.406359,6840
1998-04-16,136.458328,136.666672,135.208328,136.250000,18.378254,7710
1998-04-17,136.666672,136.666672,133.750000,133.750000,18.041039,54990
1998-04-20,131.666672,139.791672,123.750000,125.000000,16.860786,404520
1998-04-21,123.333336,126.250000,110.416664,117.083336,15.792935,562560
1998-04-22,117.916664,125.416664,117.916664,122.500000,16.523565,310620
1998-04-23,123.333336,123.333336,114.583336,117.500000,15.849143,330150
1998-04-24,117.500000,117.500000,112.500000,115.416664,15.568119,393690
1998-04-27,115.833336,115.833336,109.375000,111.875000,15.090405,65610
1998-04-28,112.500000,117.708336,112.500000,116.666664,15.736731,87330
1998-04-29,116.666664,120.625000,115.208336,116.666664,15.736731,97710
1998-04-30,117.291664,118.958336,116.250000,118.125000,15.933441,77730
1998-05-01,117.500000,118.958336,117.083336,118.541664,15.989641,10890
1998-05-04,118.125000,118.333336,116.250000,116.250000,15.680529,18540
1998-05-05,116.250000,116.666664,115.000000,115.833336,15.624329,35880
1998-05-06,115.000000,115.000000,113.333336,113.541664,15.315216,93090
1998-05-07,113.333336,113.333336,110.416664,111.666664,15.062300,55620
1998-05-08,111.666664,115.000000,111.666664,114.166664,15.399523,67500
1998-05-11,114.583336,115.208336,114.375000,114.583336,15.455719,20310
1998-05-12,114.166664,114.375000,112.500000,114.375000,15.427618,41370
1998-05-13,113.750000,113.750000,113.125000,113.750000,15.343313,100680
1998-05-14,113.333336,115.000000,113.333336,113.333336,15.287111,30000
1998-05-15,114.166664,115.000000,114.166664,114.791664,15.483824,62130
1998-05-18,114.583336,115.416664,114.583336,114.791664,15.483824,18930
1998-05-19,114.791664,115.416664,114.166664,114.375000,15.427618,159420
1998-05-20,114.375000,114.583336,112.500000,113.125000,15.259009,14070
1998-05-21,113.125000,113.333336,110.833336,110.833336,14.949895,20880
