Date,Open,High,Low,Close,Adj Close,Volume
2007-11-13,288.750000,295.799988,287.250000,288.750000,90.981842,457593
2007-11-14,288.899994,292.200012,287.250000,289.500000,91.218185,41133
2007-11-15,288.149994,288.750000,269.850006,287.549988,90.603729,47880
2007-11-16,285.000000,287.250000,271.200012,283.500000,89.327621,14767
2007-11-19,280.500000,280.500000,265.350006,267.600006,84.317726,19693
2007-11-20,267.750000,274.200012,256.649994,265.500000,83.656044,18720
2007-11-21,259.500000,267.000000,250.649994,261.000000,82.238159,9547
2007-11-23,264.000000,285.000000,249.000000,281.250000,88.618683,3753
2007-11-26,281.250000,286.500000,225.000000,270.000000,85.073944,9773
2007-11-27,270.000000,275.250000,266.250000,275.250000,86.728180,6467
2007-11-28,273.000000,283.200012,266.250000,283.200012,89.233131,11527
2007-11-29,285.000000,288.899994,277.500000,285.000000,89.800285,6707
2007-11-30,290.250000,296.250000,279.750000,291.750000,91.927094,6760
2007-12-03,291.750000,293.850006,281.549988,281.700012,88.760468,3160
2007-12-04,283.200012,286.649994,270.000000,277.500000,87.437065,2460
2007-12-05,276.149994,276.149994,270.299988,271.049988,85.404785,8147
2007-12-06,270.750000,273.000000,264.899994,271.500000,85.546577,2140
2007-12-07,270.000000,284.399994,270.000000,279.000000,87.909737,1867
2007-12-10,292.950012,292.950012,270.750000,287.850006,90.698265,2047
2007-12-11,285.000000,287.250000,274.950012,281.100006,88.571426,2180
2007-12-12,277.500000,280.350006,271.500000,279.000000,87.909737,5280
2007-12-13,270.000000,280.799988,264.149994,276.000000,86.964455,2753
2007-12-14,271.500000,279.000000,271.500000,275.250000,86.728180,1920
2007-12-17,275.250000,285.000000,270.000000,282.000000,88.855003,18520
2007-12-18,278.700012,278.700012,270.000000,277.350006,87.389862,23647
2007-12-19,275.100006,282.899994,269.850006,276.149994,87.011734,7413
2007-12-20,273.149994,273.149994,266.250000,273.000000,86.019188,1607
2007-12-21,271.500000,278.850006,263.250000,273.899994,86.302795,3847
2007-12-24,274.649994,280.500000,271.500000,277.500000,87.437065,1573
2007-12-26,270.000000,279.000000,270.000000,279.000000,87.909737,2567
2007-12-27,274.500000,279.450012,270.149994,277.799988,87.531616,4393
2007-12-28,274.500000,280.500000,270.299988,280.500000,88.382355,5140
2007-12-31,277.500000,288.899994,273.750000,287.250000,90.509247,6033
2008-01-02,285.000000,287.250000,279.750000,282.750000,89.091324,2127
2008-01-03,281.250000,284.850006,277.649994,280.049988,88.240585,2193
2008-01-04,283.049988,283.049988,271.649994,275.100006,86.680901,3453
2008-01-07,280.350006,280.500000,258.899994,270.000000,85.073944,11740
2008-01-08,266.250000,273.750000,265.649994,270.000000,85.073944,8027
2008-01-09,272.250000,272.250000,258.750000,259.500000,81.765488,7927
2008-01-10,259.500000,260.700012,252.000000,256.500000,80.820221,54927
2008-01-11,257.850006,267.149994,255.000000,263.399994,82.994339,940
2008-01-14,264.750000,266.250000,251.550003,257.399994,81.103821,2213
2008-01-15,261.000000,261.000000,253.500000,256.200012,80.725716,9753
