Date,Open,High,Low,Close,Adj Close,Volume
2015-11-04,12.000000,12.000000,9.600000,10.916000,10.916000,925
2015-11-05,12.972000,13.396000,11.080000,12.220000,12.220000,575
2015-11-06,12.000000,12.480000,12.000000,12.080000,12.080000,800
2015-11-09,11.840000,11.840000,10.800000,11.148000,11.148000,275
2015-11-10,11.080000,11.080000,10.800000,10.800000,10.800000,250
2015-11-11,10.200000,12.000000,10.200000,12.000000,12.000000,150
2015-11-12,10.080000,10.080000,10.080000,10.080000,10.080000,75
2015-11-13,11.040000,11.160000,11.040000,11.160000,11.160000,200
2015-11-16,11.000000,11.140000,10.000000,10.000000,10.000000,850
2015-11-17,10.000000,10.368000,9.400000,9.460000,9.460000,800
2015-11-18,9.600000,11.600000,9.600000,10.520000,10.520000,875
2015-11-19,9.600000,10.568000,9.200000,9.200000,9.200000,1175
2015-11-20,9.880000,11.400000,9.604000,9.604000,9.604000,125
2015-11-23,10.000000,10.000000,9.080000,9.200000,9.200000,1000
2015-11-24,9.200000,10.560000,8.600000,8.920000,8.920000,650
2015-11-25,8.600000,8.600000,8.400000,8.596000,8.596000,225
2015-11-27,10.000000,10.000000,8.400000,8.400000,8.400000,250
2015-11-30,8.200000,8.280000,8.200000,8.200000,8.200000,400
2015-12-01,8.200000,8.200000,8.200000,8.200000,8.200000,0
2015-12-02,8.200000,8.200000,8.000000,8.000000,8.000000,225
2015-12-03,8.000000,8.000000,8.000000,8.000000,8.000000,0
2015-12-04,8.000000,8.000000,6.080000,7.200000,7.200000,2500
2015-12-07,6.800000,6.800000,6.800000,6.800000,6.800000,450
2015-12-08,6.644000,8.240000,6.320000,6.840000,6.840000,29150
2015-12-09,7.480000,8.000000,6.680000,6.800000,6.800000,1300
2015-12-10,7.400000,8.800000,6.800000,8.800000,8.800000,2850
2015-12-11,8.600000,13.480000,7.200000,11.520000,11.520000,24075
2015-12-14,12.200000,12.200000,7.400000,8.040000,8.040000,11175
2015-12-15,9.000000,9.000000,6.640000,8.000000,8.000000,7850
2015-12-16,9.240000,9.240000,6.944000,6.944000,6.944000,575
2015-12-17,6.920000,7.664000,6.920000,6.920000,6.920000,2775
2015-12-18,7.000000,8.400000,6.920000,7.000000,7.000000,11725
2015-12-21,6.240000,7.880000,6.240000,6.440000,6.440000,3225
2015-12-22,6.440000,7.600000,6.440000,6.840000,6.840000,600
2015-12-23,7.000000,7.000000,6.776000,6.880000,6.880000,250
2015-12-24,6.880000,6.880000,6.880000,6.880000,6.880000,0
2015-12-28,7.840000,7.840000,6.560000,7.600000,7.600000,575
2015-12-29,7.000000,7.400000,6.800000,6.800000,6.800000,2000
2015-12-30,6.760000,7.988000,5.640000,6.392000,6.392000,8350
2015-12-31,6.200000,6.640000,5.040000,5.040000,5.040000,1825
2016-01-04,4.680000,5.000000,4.200000,5.000000,5.000000,925
2016-01-05,4.720000,4.760000,4.320000,4.760000,4.760000,400
2016-01-06,4.360000,5.080000,4.012000,5.080000,5.080000,1175
2016-01-07,5.080000,5.760000,4.000000,5.280000,5.280000,2025
2016-01-08,4.600000,4.640000,3.480000,3.480000,3.480000,1525
2016-01-11,5.440000,5.440000,3.480000,3.480000,3.480000,6575
2016-01-12,3.480000,3.480000,2.500000,2.720000,2.720000,1675
2016-01-13,2.720000,3.160000,2.184000,3.000000,3.000000,23225
2016-01-14,2.720000,3.080000,2.280000,3.008000,3.008000,1775
