Date,Open,High,Low,Close,Adj Close,Volume
2013-05-02,14.000000,14.000000,13.000000,13.520000,4.039030,3757850
2013-05-03,14.000000,14.000000,13.000000,13.500000,4.033053,2934900
2013-05-06,13.500000,13.980000,13.320000,13.820000,4.128653,730400
2013-05-07,13.800000,14.260000,13.800000,14.200000,4.242175,1409250
2013-05-08,14.400000,14.580000,14.000000,14.120000,4.218276,2697500
2013-05-09,14.200000,14.500000,13.680000,13.960000,4.170476,992450
2013-05-10,13.760000,14.020000,13.680000,13.940000,4.164501,2805150
2013-05-13,14.000000,14.120000,13.540000,13.700000,4.092802,741300
2013-05-14,13.940000,13.960000,13.640000,13.660000,4.080853,1172450
2013-05-15,13.940000,13.940000,13.000000,13.100000,3.913556,1811350
2013-05-16,13.400000,14.080000,13.400000,14.000000,4.182425,3307400
2013-05-17,14.280000,14.280000,13.700000,13.840000,4.134628,3300500
2013-05-20,13.840000,13.980000,13.240000,13.780000,4.116702,1813150
2013-05-21,13.760000,13.880000,13.420000,13.800000,4.122676,2351700
2013-05-22,13.860000,13.920000,13.440000,13.520000,4.039030,3801300
2013-05-23,13.260000,14.000000,12.720000,13.880000,4.146577,2112050
2013-05-24,13.840000,13.880000,13.560000,13.860000,4.140601,644550
2013-05-28,13.800000,13.860000,12.940000,13.100000,3.913556,2584150
2013-05-29,12.840000,13.500000,12.700000,13.480000,4.027079,2034450
2013-05-30,13.500000,13.760000,13.380000,13.660000,4.080853,739700
2013-05-31,13.400000,13.700000,13.320000,13.680000,4.086830,945450
2013-06-03,13.380000,13.760000,13.100000,13.580000,4.056954,1527150
2013-06-04,13.600000,13.620000,12.900000,13.480000,4.027079,1122350
2013-06-05,13.400000,13.660000,13.320000,13.440000,4.015128,824000
2013-06-06,13.420000,13.500000,13.300000,13.480000,4.027079,891400
2013-06-07,13.500000,13.500000,13.000000,13.100000,3.913556,1198650
2013-06-10,13.080000,13.260000,12.640000,13.180000,3.937455,1798500
2013-06-11,12.680000,12.900000,12.320000,12.840000,3.877065,2270400
2013-06-12,12.880000,13.060000,12.320000,12.520000,3.780440,1220100
2013-06-13,12.020000,13.060000,11.700000,12.980000,3.919339,2691500
2013-06-14,13.080000,13.400000,12.940000,13.180000,3.979729,858200
2013-06-17,13.360000,13.580000,13.120000,13.400000,4.046158,1480950
2013-06-18,13.400000,13.500000,13.220000,13.360000,4.034080,737750
2013-06-19,13.360000,13.440000,13.080000,13.140000,3.967649,638900
2013-06-20,13.320000,13.320000,12.800000,12.920000,3.901220,1756500
2013-06-21,13.080000,13.100000,12.160000,12.960000,3.913300,1534450
2013-06-24,12.740000,12.840000,12.300000,12.580000,3.798556,2167400
2013-06-25,12.620000,13.020000,12.560000,12.940000,3.907259,1336850
2013-06-26,12.920000,13.320000,12.820000,12.900000,3.895183,1831350
2013-06-27,13.040000,13.340000,12.920000,13.100000,3.955572,1258800
2013-06-28,13.160000,13.520000,13.060000,13.480000,4.070313,11326000
2013-07-01,13.480000,13.480000,12.700000,13.000000,3.925377,1512450
2013-07-02,12.980000,13.200000,12.780000,12.900000,3.895183,1564850
2013-07-03,12.840000,12.980000,12.700000,12.920000,3.901220,559450
2013-07-05,13.200000,13.580000,12.700000,13.560000,4.094471,1390850
2013-07-08,13.560000,13.660000,13.320000,13.460000,4.064276,1130550
2013-07-09,13.460000,13.600000,13.060000,13.140000,3.967649,947550
2013-07-10,13.100000,13.280000,12.880000,13.260000,4.003886,918050
2013-07-11,13.320000,13.340000,13.100000,13.340000,4.028042,1341100
2013-07-12,13.280000,13.880000,13.260000,13.760000,4.154861,1350700
2013-07-15,13.800000,13.860000,13.500000,13.600000,4.106547,1198850
2013-07-16,13.580000,13.600000,13.400000,13.480000,4.070313,1217550
2013-07-17,13.500000,13.660000,13.400000,13.480000,4.070313,1070750
2013-07-18,13.560000,13.720000,13.480000,13.580000,4.100509,790450
2013-07-19,13.420000,13.580000,13.220000,13.260000,4.003886,855250
2013-07-22,13.140000,13.340000,13.100000,13.280000,4.009924,967000
2013-07-23,13.200000,13.300000,12.880000,13.260000,4.003886,1748100
2013-07-24,13.200000,13.220000,12.880000,13.040000,3.937455,956200
2013-07-25,12.860000,13.140000,12.840000,13.100000,3.955572,984400
2013-07-26,12.960000,13.140000,12.700000,12.840000,3.877065,1490750
2013-07-29,12.680000,13.000000,12.600000,12.820000,3.871026,139500
2013-07-30,12.900000,13.340000,12.740000,13.280000,4.009924,1059950
2013-07-31,13.400000,13.500000,13.180000,13.260000,4.003886,869650
2013-08-01,13.260000,13.560000,13.140000,13.560000,4.094471,2560500
2013-08-02,13.600000,13.680000,13.420000,13.500000,4.076352,1309900
2013-08-05,13.380000,13.480000,13.240000,13.320000,4.022002,1264500
2013-08-06,13.440000,13.760000,13.400000,13.620000,4.112587,1308300
2013-08-07,13.660000,13.920000,13.320000,13.700000,4.136743,1886600
2013-08-08,13.700000,13.900000,13.700000,13.780000,4.160899,688750
2013-08-09,13.720000,13.840000,13.340000,13.580000,4.100509,770300
2013-08-12,13.500000,13.580000,13.280000,13.400000,4.046158,718100
2013-08-13,13.400000,13.460000,13.100000,13.300000,4.015963,679250
